
  logs\peticionamento.txt:291:2025-05-15 07:06:25,707 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [1]
  logs\peticionamento.txt:292:2025-05-15 07:06:25,708 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(65, 99)]
> logs\peticionamento.txt:293:2025-05-15 07:06:25,709 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'texto_personalizado_data_aviso'
  logs\peticionamento.txt:294:2025-05-15 07:06:25,710 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:295:2025-05-15 07:06:25,710 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 2 runs
  logs\peticionamento.txt:376:2025-05-15 07:06:25,739 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:377:2025-05-15 07:06:25,739 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(93, 127)]
> logs\peticionamento.txt:378:2025-05-15 07:06:25,741 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'texto_personalizado_data_aviso'
  logs\peticionamento.txt:379:2025-05-15 07:06:25,741 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:380:2025-05-15 07:06:25,741 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{cargo_funcao}}' (campo: 'cargo_funcao')
  logs\peticionamento.txt:492:2025-05-15 07:06:25,775 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:493:2025-05-15 07:06:25,776 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(157, 191)]
> logs\peticionamento.txt:494:2025-05-15 07:06:25,777 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'texto_personalizado_data_aviso'
  logs\peticionamento.txt:495:2025-05-15 07:06:25,778 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:496:2025-05-15 07:06:25,778 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{cargo_funcao}}' (campo: 'cargo_funcao')
  logs\peticionamento.txt:535:2025-05-15 07:06:25,791 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:536:2025-05-15 07:06:25,791 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(50, 95)]
> logs\peticionamento.txt:537:2025-05-15 07:06:25,792 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'meses_ano_termino_topicos_decimo_terceiro'
  logs\peticionamento.txt:538:2025-05-15 07:06:25,793 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:539:2025-05-15 07:06:25,793 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 3 runs
  logs\peticionamento.txt:553:2025-05-15 07:06:25,795 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0, 1, 2]
  logs\peticionamento.txt:554:2025-05-15 07:06:25,795 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(28, 30), (0, 41), (0, 3)]
> logs\peticionamento.txt:555:2025-05-15 07:06:25,796 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'meses_ano_termino_topicos_decimo_terceiro'
  logs\peticionamento.txt:556:2025-05-15 07:06:25,796 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 3 runs
  logs\peticionamento.txt:557:2025-05-15 07:06:25,797 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 1 runs
  logs\peticionamento.txt:647:2025-05-15 07:06:25,830 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [1]
