campo_id;categoria_1;categoria_2;subcategoria_1;subcategoria_2;subcategoria_3;tipo_controlador
1;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Dados do Juízo';Dados do Juízo;Numero Vara;à defirnir;
2;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Dados do Juízo';Dados do Juízo;Cidade Vara;à defirnir;
3;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Dados do Juízo';Dados do Juízo;Uf Vara;à defirnir;
4;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Dados do Juízo';Dados do Juízo;N Regiao Trt;à defirnir;
5;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Autor';Dados das Partes;Autor;à defirnir;
6;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Autor';Dados das Partes;Autor;à defirnir;
7;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Autor';Dados das Partes;Autor;à defirnir;
8;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Réu Principal';Dados das Partes;Réu Principal;à defirnir;
9;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Réu Principal';Dados das Partes;Réu Principal;à defirnir;
10;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Réu Principal';Dados das Partes;Réu Principal;à defirnir;
11;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Réu Principal';Dados das Partes;Réu Principal;à defirnir;
12;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Réu Principal';Dados das Partes;Réu Principal;à defirnir;
13;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Réu Principal';Dados das Partes;Réu Principal;à defirnir;
14;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Réu Principal';Dados das Partes;Réu Principal;à defirnir;
15;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Réu Principal';Dados das Partes;Réu Principal;à defirnir;
16;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Réu Principal';Dados das Partes;Réu Principal;à defirnir;
17;Base de Cálculo Geral;Variáveis da Base de Cálculo 'Réu Principal';Dados das Partes;Réu Principal;à defirnir;
