regra_id;campo_id;campo_vinculo_id;condicao_vinculo_tipo;condicao_vinculo_valor;obrigatorio_quando_ativo;descricao_regra
1;1;;;;não;Sempre visível e obrigatório
2;2;;;;não;Sempre visível e obrigatório
3;3;;;;não;Sempre visível e obrigatório
4;4;;;;não;Sempre visível e obrigatório
5;5;;;;não;Sempre visível e obrigatório
6;6;;;;não;Sempre visível e obrigatório
7;7;;;;não;Sempre visível e obrigatório
8;8;;;;não;Sempre visível e obrigatório
9;9;;;;não;Sempre visível e obrigatório
10;10;9;igual_a;jurídica;sim;Opcional se `natureza_juridica_reu_1` for 'jurídica'
11;11;;;;não;Sempre visível e obrigatório
12;12;;;;não;Sempre visível e obrigatório
13;13;9;nao_vazio;;sim;Opcional se `natureza_juridica_reu_1` for preenchido
14;14;;;;não;Sempre visível e obrigatório
15;15;;;;não;Sempre visível e obrigatório
16;16;;;;não;Sempre visível e obrigatório
17;17;;;;não;Sempre visível e obrigatório
18;18;9;igual_a;física;sim;Opcional se `natureza_juridica_reu_1` for 'física'
19;19;9;igual_a;física;sim;Opcional se `natureza_juridica_reu_1` for 'física'
20;20;9;igual_a;física;sim;Opcional se `natureza_juridica_reu_1` for 'física'
21;21;;;;não;Sempre visível e obrigatório
22;22;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
23;23;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
24;24;23;igual_a;jurídica;sim;Opcional se `natureza_juridica_reu_2` for 'jurídica'
25;25;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
26;26;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
27;27;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
28;28;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
29;29;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
30;30;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
31;31;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
32;32;23;igual_a;física;sim;Opcional se `natureza_juridica_reu_2` for 'física'
33;33;23;igual_a;física;sim;Opcional se `natureza_juridica_reu_2` for 'física'
34;34;23;igual_a;física;sim;Opcional se `natureza_juridica_reu_2` for 'física'
35;35;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
36;36;;;;não;Sempre visível e obrigatório
37;37;;;;não;Sempre visível e obrigatório
38;38;;;;não;Sempre visível e obrigatório
39;39;37;igual_a;Sim;sim;Opcional se `motivo_rescisao` for 'Sim'
40;40;;;;não;Sempre visível e obrigatório
41;41;;;;não;Sempre visível e obrigatório
42;42;;;;não;Sempre visível e obrigatório
43;43;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
44;44;42;igual_a;Sim;sim;Opcional se `calcular_terceirizacao_base_calculo` for 'Sim'
45;45;43;igual_a;Não;sim;Opcional se `mesmo_periodo_verbas_terceirizacao` for 'Não'
46;46;;;;não;Sempre visível e obrigatório
47;47;;;;não;Sempre visível e obrigatório
48;48;;;;não;Sempre visível e obrigatório
49;49;;;;não;Sempre visível e obrigatório
50;50;;;;não;Sempre visível e obrigatório
51;51;;;;não;Sempre visível e obrigatório
52;52;;;;não;Sempre visível e obrigatório
53;53;124;igual_a;Sim;sim;Opcional se `calcular_acumulo_funcao` for 'Sim'
54;54;124;igual_a;Sim;sim;Opcional se `calcular_acumulo_funcao` for 'Sim'
55;55;;;;não;Sempre visível e obrigatório
56;56;;;;não;Sempre visível e obrigatório
57;57;124;igual_a;Sim;sim;Opcional se `calcular_acumulo_funcao` for 'Sim'
58;58;141;igual_a;Sim;sim;Opcional se `calcular_insalubridade` for 'Sim'
59;59;215;igual_a;Sim;sim;Opcional se `calcular_gestante` for 'Sim'
60;60;215;igual_a;Sim;sim;Opcional se `calcular_gestante` for 'Sim'
61;61;;;;não;Sempre visível e obrigatório
62;62;;;;não;Sempre visível e obrigatório
63;63;;;;não;Sempre visível e obrigatório
64;64;;;;não;Sempre visível e obrigatório
65;65;55;igual_a;Sim;sim;Opcional se `reflexos_em_aviso_previo_base_calculo` for 'Sim'
66;66;;;;não;Sempre visível e obrigatório
67;67;66;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_anual` for 'Sim'
68;68;66;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_anual` for 'Sim'
69;69;66;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_anual` for 'Sim'
70;70;66;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_anual` for 'Sim'
71;71;66;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_anual` for 'Sim'
72;72;66;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_anual` for 'Sim'
73;73;66;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_anual` for 'Sim'
74;74;66;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_anual` for 'Sim'
75;75;66;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_anual` for 'Sim'
76;76;66;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_anual` for 'Sim'
77;77;;;;não;Sempre visível e obrigatório
78;78;77;igual_a;Sim;sim;Opcional se `calcular_decimo_terceiro_recisorio` for 'Sim'
79;79;78;igual_a;Não;sim;Opcional se `mesmo_periodo_verbas_decimo_terceiro_recisorio` for 'Não'
80;80;;;;não;Sempre visível e obrigatório
81;81;80;igual_a;Sim;sim;Opcional se `calcular_ferias_anuais` for 'Sim'
82;82;81;igual_a;Sim;sim;Opcional se `primeiro_pdo_aquisitivo_meses_ferias_anuais` for 'Sim'
